"database"	"field"	"section"	"label"	"example"
"uniprotkb"	"accession"	"Names & Taxonomy"	"Entry"	""
"uniprotkb"	"id"	"Names & Taxonomy"	"Entry name"	""
"uniprotkb"	"gene_names"	"Names & Taxonomy"	"Gene names"	""
"uniprotkb"	"gene_primary"	"Names & Taxonomy"	"Gene names (primary)"	""
"uniprotkb"	"gene_synonym"	"Names & Taxonomy"	"Gene names (synonym)"	""
"uniprotkb"	"gene_oln"	"Names & Taxonomy"	"Gene names (ordered locus)"	""
"uniprotkb"	"gene_orf"	"Names & Taxonomy"	"Gene names (ORF)"	""
"uniprotkb"	"organism_name"	"Names & Taxonomy"	"Organism"	""
"uniprotkb"	"organism_id"	"Names & Taxonomy"	"Organism ID"	""
"uniprotkb"	"protein_name"	"Names & Taxonomy"	"Protein names"	""
"uniprotkb"	"xref_proteomes"	"Names & Taxonomy"	"Proteomes"	""
"uniprotkb"	"lineage"	"Names & Taxonomy"	"Taxonomic lineage"	""
"uniprotkb"	"lineage_ids"	"Names & Taxonomy"	"Taxonomic lineage (IDs)"	""
"uniprotkb"	"virus_hosts"	"Names & Taxonomy"	"Virus hosts"	""
"uniprotkb"	"cc_alternative_products"	"Sequences"	"Alternative products"	""
"uniprotkb"	"ft_var_seq"	"Sequences"	"Alternative sequence"	""
"uniprotkb"	"error_gmodel_pred"	"Sequences"	"Erroneous gene model prediction"	""
"uniprotkb"	"fragment"	"Sequences"	"Fragment"	""
"uniprotkb"	"organelle"	"Sequences"	"Gene encoded by"	""
"uniprotkb"	"length"	"Sequences"	"Length"	""
"uniprotkb"	"mass"	"Sequences"	"Mass"	""
"uniprotkb"	"cc_mass_spectrometry"	"Sequences"	"Mass spectrometry"	""
"uniprotkb"	"ft_variant"	"Sequences"	"Natural variant"	""
"uniprotkb"	"ft_non_cons"	"Sequences"	"Non-adjacent residues"	""
"uniprotkb"	"ft_non_std"	"Sequences"	"Non-standard residue"	""
"uniprotkb"	"ft_non_ter"	"Sequences"	"Non-terminal residue"	""
"uniprotkb"	"cc_polymorphism"	"Sequences"	"Polymorphism"	""
"uniprotkb"	"cc_rna_editing"	"Sequences"	"RNA editing"	""
"uniprotkb"	"sequence"	"Sequences"	"Sequence"	""
"uniprotkb"	"cc_sequence_caution"	"Sequences"	"Sequence caution"	""
"uniprotkb"	"ft_conflict"	"Sequences"	"Sequence conflict"	""
"uniprotkb"	"ft_unsure"	"Sequences"	"Sequence uncertainty"	""
"uniprotkb"	"sequence_version"	"Sequences"	"Sequence version"	""
"uniprotkb"	"absorption"	"Function"	"Absorption"	""
"uniprotkb"	"ft_act_site"	"Function"	"Active site"	""
"uniprotkb"	"cc_activity_regulation"	"Function"	"Activity regulation"	""
"uniprotkb"	"ft_binding"	"Function"	"Binding site"	""
"uniprotkb"	"ft_ca_bind"	"Function"	"Calcium binding"	""
"uniprotkb"	"cc_catalytic_activity"	"Function"	"Catalytic activity"	""
"uniprotkb"	"cc_cofactor"	"Function"	"Cofactor"	""
"uniprotkb"	"ft_dna_bind"	"Function"	"DNA binding"	""
"uniprotkb"	"ec"	"Function"	"EC number"	""
"uniprotkb"	"cc_function"	"Function"	"Function [CC]"	""
"uniprotkb"	"kinetics"	"Function"	"Kinetics"	""
