database	section	field	label
uniprotkb	Names & Taxonomy	accession	Entry
uniprotkb	Names & Taxonomy	id	Entry name
uniprotkb	Names & Taxonomy	gene_names	Gene names
uniprotkb	Names & Taxonomy	gene_primary	Gene names (primary)
uniprotkb	Names & Taxonomy	gene_synonym	Gene names (synonym)
uniprotkb	Names & Taxonomy	gene_oln	Gene names (ordered locus)
uniprotkb	Names & Taxonomy	gene_orf	Gene names (ORF)
uniprotkb	Names & Taxonomy	organism_name	Organism
uniprotkb	Names & Taxonomy	organism_id	Organism ID
uniprotkb	Names & Taxonomy	protein_name	Protein names
uniprotkb	Names & Taxonomy	xref_proteomes	Proteomes
uniprotkb	Names & Taxonomy	lineage	Taxonomic lineage
uniprotkb	Names & Taxonomy	lineage_ids	Taxonomic lineage (IDs)
uniprotkb	Names & Taxonomy	virus_hosts	Virus hosts
uniprotkb	Sequences	cc_alternative_products	Alternative products
uniprotkb	Sequences	ft_var_seq	Alternative sequence
uniprotkb	Sequences	error_gmodel_pred	Erroneous gene model prediction
uniprotkb	Sequences	fragment	Fragment
uniprotkb	Sequences	organelle	Gene encoded by
uniprotkb	Sequences	length	Length
uniprotkb	Sequences	mass	Mass
uniprotkb	Sequences	cc_mass_spectrometry	Mass spectrometry
uniprotkb	Sequences	ft_variant	Natural variant
uniprotkb	Sequences	ft_non_cons	Non-adjacent residues
uniprotkb	Sequences	ft_non_std	Non-standard residue
uniprotkb	Sequences	ft_non_ter	Non-terminal residue
uniprotkb	Sequences	cc_polymorphism	Polymorphism
uniprotkb	Sequences	cc_rna_editing	RNA editing
uniprotkb	Sequences	sequence	Sequence
uniprotkb	Sequences	cc_sequence_caution	Sequence caution
uniprotkb	Sequences	ft_conflict	Sequence conflict
uniprotkb	Sequences	ft_unsure	Sequence uncertainty
uniprotkb	Sequences	sequence_version	Sequence version
uniprotkb	Function	absorption	Absorption
uniprotkb	Function	ft_act_site	Active site
uniprotkb	Function	cc_activity_regulation	Activity regulation
uniprotkb	Function	ft_binding	Binding site
uniprotkb	Function	ft_ca_bind	Calcium binding
uniprotkb	Function	cc_catalytic_activity	Catalytic activity
uniprotkb	Function	cc_cofactor	Cofactor
uniprotkb	Function	ft_dna_bind	DNA binding
uniprotkb	Function	ec	EC number
uniprotkb	Function	cc_function	Function [CC]
uniprotkb	Function	kinetics	Kinetics
uniprotkb	Function	ft_metal	Metal binding
